Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	89	16078108	yhjA	BSU10440	-	-	hypothetical protein	1118850	1119119	OF328
-	489	16078109	yhjB	BSU10450	-	COG0591ER	Na+/metabolite cotransporter	1119162	1120631	OR1
-	66	16078110	yhjC	BSU10460	-	-	hypothetical protein	1120628	1120828	OR1
-	120	16078111	yhjD	BSU10470	-	-	hypothetical protein	1121036	1121398	OR1
+	207	16078112	yhjE	BSU10480	-	COG0398S	hypothetical protein	1121550	1122173	OF329
+	168	16078113	sipV	BSU10490	-	COG0681U	type I signal peptidase	1122175	1122681	OF329
+	499	16078114	yhjG	BSU10500	-	COG0654HC	hypothetical protein	1122862	1124361	OF329
+	175	16078115	yhjH	BSU10510	-	COG1846K	transcriptional regulator	1124438	1124965	OF330
-	401	16078116	glcP	BSU10520	-	COG0738G	glucose/mannose:H+ symporter	1125123	1126328	OR1
-	350	255767240	ntdC	BSU10530	-	COG0673R	neotrehalosadiamine biosynthesis dehydrogenase	1126400	1127452	OR1
-	282	255767241	ntdB	BSU10540	-	COG0561R	neotrehalosadiamine biosynthesis hydrolase	1127466	1128314	OR1
-	441	16078119	ntdA	BSU10550	-	COG0399M	neotrehalosadiamine biosynthesis aminotransferase	1128286	1129611	OR1
+	329	16078120	yhjM	BSU10560	-	COG1609K	the ntd operon transcriptional regulator	1129715	1130704	OF331
-	384	16078121	yhjN	BSU10570	-	COG3180R	hypothetical protein	1130918	1132072	OR1
-	401	16078122	yhjO	BSU10580	-	COG2814G	hypothetical protein	1132179	1133384	OR1
+	575	16078123	yhjP	BSU10590	-	COG4533R	hypothetical protein	1133498	1135225	OF332
-	108	16078124	yhjQ	BSU10600	-	-	ferredoxin	1135255	1135581	OR1
-	145	16078125	yhjR	BSU10610	-	COG1633S	electron carrier protein	1135699	1136136	OR1
+	1166	255767242	addB	BSU10620	-	COG3857L	ATP-dependent deoxyribonuclease subunit B	1136320	1139820	OF333
+	1232	255767243	addA	BSU10630	-	COG1074L	ATP-dependent deoxyribonuclease subunit A	1139807	1143505	OF333
+	391	255767244	sbcD	BSU10640	-	COG0420L	DNA repair exonuclease	1143577	1144752	OF333
+	1130	255767245	sbcC	BSU10650	-	COG0419L	DNA ATP-dependent repair enzyme	1144749	1148141	OF333
+	100	16078130	yisB	BSU10660	-	-	nuclease component	1148155	1148457	OF333
-	75	16078131	gerPF	BSU10670	-	-	spore germination protein	1148494	1148721	OR1
-	133	16078132	gerPE	BSU10680	-	-	spore germination protein	1148744	1149145	OR1
-	58	16078133	gerPD	BSU10690	-	-	spore germination protein	1149145	1149321	OR1
-	205	16078134	gerPC	BSU10700	-	-	spore germination protein	1149318	1149935	OR1
-	80	16078135	gerPB	BSU10710	-	-	spore germination protein	1149958	1150200	OR1
-	73	16078136	gerPA	BSU10720	-	-	spore germination protein	1150206	1150427	OR1
-	56	16078137	yisI	BSU10730	-	-	Spo0A-P phosphatase	1150850	1151020	OR1
-	307	16078138	yisJ	BSU10740	-	COG5337M	spore coat protein	1151166	1152089	OR1
+	301	16078139	yisK	BSU10750	-	COG0179Q	catabolic enzyme	1152244	1153149	OF333
+	118	16078140	yisL	BSU10760	-	-	hypothetical protein	1153265	1153621	OF334
+	894	16078141	wprA	BSU10770	-	COG1404O	cell wall-associated protease	1153789	1156473	OF335
-	195	16078142	yisN	BSU10780	-	-	hypothetical protein	1156504	1157091	OR1
+	614	50812210	asnO	BSU10790	-	COG0367E	asparagine synthetase	1157237	1159081	OF336
-	159	50812211	yizA	BSU10800	-	COG2318S	hypothetical protein	1159211	1159690	OR1
+	274	16078144	yisP	BSU10810	-	COG1562I	squalene/phytoene synthase	1159922	1160746	OF337
-	455	16078145	yisQ	BSU10820	-	COG0534V	Na+driven efflux transporter	1160776	1162143	OR1
+	287	16078146	yisR	BSU10830	-	COG2207K	AraC family transcriptional regulator	1162267	1163130	OF338
+	337	16078147	degA	BSU10840	-	COG1609K	LacI family transcriptional regulator	1163148	1164161	OF338
+	342	16078148	yisS	BSU10850	-	COG0673R	dehydrogenase	1164370	1165398	OF338
-	169	50812212	yisT	BSU10860	-	COG2318S	hypothetical protein	1165449	1165958	OR1
-	220	16078150	yisU	BSU10870	-	COG1279R	aminoacid related metabolite efflux transporter	1166008	1166670	OR1
+	484	50812213	yisV	BSU10880	-	COG1167KE	PLP-dependent transcriptional regulator	1166737	1168191	OF339
-	212	16078153	yisX	BSU10890	-	COG1357S	hypothetical protein	1168199	1168837	OR1
+	268	16078154	yisY	BSU10900	-	COG0596R	hydrolase	1169043	1169849	OF340
-	199	16078155	yisZ	BSU10910	-	COG0529P	adenylylsulfate kinase	1169877	1170476	OR1
-	389	50812214	sat	BSU10920	-	COG2046P	sulfate adenylyltransferase	1170473	1171642	OR1
-	236	50812215	yitB	BSU10930	-	COG0175EH	phospho-adenylylsulfate sulfotransferase	1171755	1172465	OR1
+	228	16078158	yitC	BSU10940	-	COG2045HR	2-phosphosulfolactate phosphatase	1172650	1173336	OF341
+	252	16078159	yitD	BSU10950	-	COG1809S	phosphosulfolactate synthase	1173333	1174091	OF341
-	209	16078160	yitE	BSU10960	-	COG1284S	hypothetical protein	1174136	1174765	OR1
-	371	16078161	yitF	BSU10970	-	COG4948MR	enolase	1174861	1175976	OR1
-	422	16078162	yitG	BSU10980	-	COG2814G	efflux transporter	1175985	1177253	OR1
-	282	16078163	yitH	BSU10990	-	COG0456R	N-acetyltransferase	1177365	1178213	OR1
-	154	16078164	yitI	BSU11000	-	COG2153R	N-acetyltransferase	1178218	1178682	OR1
-	612	16078165	yitJ	BSU11010	-	COG0646E	bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase	1178757	1180595	OR1
-	163	16078166	yitK	BSU11020	-	COG1666S	nucleotide-binding protein	1180909	1181400	OR1
+	298	16078167	yitL	BSU11030	-	COG2996S	RNA-binding protein	1181499	1182395	OF341
-	194	16078168	yitM	BSU11040	-	-	hypothetical protein	1182448	1183032	OR1
-	309	255767246	yitO	BSU11055	-	-	hypothetical protein	1183029	1183958	OR1
-	178	16078171	yitP	BSU11070	-	-	hypothetical protein	1183943	1184479	OR1
+	115	255767247	yizB	BSU11079	-	COG1695K	DNA/RNA binding protein	1184657	1185004	OF342
+	195	255767248	yitQ	BSU11080	-	-	hypothetical protein	1185001	1185588	OF342
+	97	16078173	yitR	BSU11090	-	-	hypothetical protein	1185608	1185901	OF342
+	538	16078174	nprB	BSU11100	-	COG3227E	extracellular neutral protease B	1186037	1187653	OF342
-	283	16078175	yitS	BSU11110	-	COG1307S	hypothetical protein	1187700	1188551	OR1
+	280	16078176	yitT	BSU11120	-	COG1284S	hypothetical protein	1188689	1189531	OF343
+	119	16078177	ipi	BSU11130	-	-	intracellular proteinase inhibitor BsuPI	1189646	1190005	OF344
-	65	255767249	yizC	BSU11139	-	-	hypothetical protein	1190036	1190233	OR1
-	270	16078178	yitU	BSU11140	-	COG0561R	phosphatase	1190490	1191302	OR1
+	255	16078179	yitV	BSU11150	-	COG1073R	hydrolase	1191423	1192190	OF345
+	102	16078180	yitW	BSU11160	-	COG2151R	hypothetical protein	1192254	1192562	OF346
+	476	255767250	yitY	BSU11170	-	COG0277C	FMN/FAD-binding oxidoreductase	1192858	1194288	OF347
+	164	16078183	yitZ	BSU11180	-	COG2271G	transporter	1194333	1194827	OF347
+	345	255767251	argC	BSU11190	-	COG0002E	N-acetyl-gamma-glutamyl-phosphate reductase	1195034	1196071	OF347
+	406	255767252	argJ	BSU11200	-	COG1364E	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	1196091	1197311	OF347
+	258	16078186	argB	BSU11210	-	COG0548E	acetylglutamate kinase	1197326	1198102	OF347
+	385	255767253	argD	BSU11220	-	COG4992E	acetylornithine aminotransferase	1198099	1199256	OF347
+	353	255767254	carA	BSU11230	-	COG0505EF	carbamoyl phosphate synthase small subunit	1199327	1200388	OF347
+	1030	255767255	carB	BSU11240	-	COG0458EF	carbamoyl phosphate synthase large subunit	1200381	1203473	OF347
+	319	16078190	argF	BSU11250	-	COG0078E	ornithine carbamoyltransferase	1203461	1204420	OF347
+	59	16078191	yjzC	BSU11260	-	-	hypothetical protein	1204506	1204685	OF347
-	61	16078192	yjzD	BSU11270	-	-	hypothetical protein	1204731	1204916	OR1
+	244	16078193	yjaU	BSU11280	-	COG2267I	hypothetical protein	1205165	1205899	OF348
+	185	255767256	yjaV	BSU11290	-	-	NAD(P) binding enzyme	1205981	1206538	OF349
+	317	50812218	med	BSU11300	-	COG1744R	positive regulator of comK	1206629	1207582	OF350
+	63	16078196	comZ	BSU11310	-	-	late competence gene	1207597	1207788	OF350
-	79	16078197	yjzB	BSU11320	-	-	hypothetical protein	1207818	1208057	OR1
+	312	16078198	fabHA	BSU11330	-	COG0332I	3-oxoacyl-ACP synthase	1208222	1209160	OF350
+	413	16078199	fabF	BSU11340	-	COG0304IQ	3-oxoacyl-ACP synthase	1209183	1210424	OF350
+	261	16078200	yjaZ	BSU11350	-	COG5504O	hypothetical protein	1210500	1211285	OF350
+	328	16078201	appD	BSU11360	-	COG0444EP	oligopeptide ABC transporter ATP-binding protein	1211477	1212463	OF351
+	329	255767257	appF	BSU11370	-	COG4608E	oligopeptide ABC transporter ATP-binding protein	1212460	1213449	OF351
+	316	255767258	appB	BSU11390	-	COG0601EP	oligopeptide ABC transporter permease	1215243	1216193	OF351
+	303	16078205	appC	BSU11400	-	COG1173EP	oligopeptide ABC transporter permease	1216210	1217121	OF351
+	250	16078206	yjbA	BSU11410	-	-	nucleic acid binding protein	1217326	1218078	OF351
-	330	16078207	trpS	BSU11420	-	COG0180J	tryptophanyl-tRNA synthetase	1218113	1219105	OR1
+	545	16078208	oppA	BSU11430	-	COG4166E	oligopeptide ABC transporter binding lipoprotein	1219849	1221486	OF352
+	311	16078209	oppB	BSU11440	-	COG0601EP	oligopeptide ABC transporter permease	1221594	1222529	OF353
+	305	16078210	oppC	BSU11450	-	COG1173EP	oligopeptide ABC transporter permease	1222533	1223450	OF353
+	358	16078211	oppD	BSU11460	-	COG0444EP	oligopeptide ABC transporter ATP-binding protein	1223455	1224531	OF353
+	305	16078212	oppF	BSU11470	-	COG1123R	oligopeptide ABC transporter ATP-binding protein	1224533	1225450	OF353
+	405	50812219	yjbB	BSU11480	-	COG2814G	exporter	1225557	1226774	OF353
+	192	255767259	yjbC	BSU11490	-	COG0018J	thiol oxidation management factor; acetyltransferase	1226938	1227516	OF354
+	131	16078215	spxA	BSU11500	-	COG1393P	transcriptional regulator Spx	1227697	1228092	OF355
-	218	16078216	yjbE	BSU11510	-	COG0861P	transporter component	1228135	1228791	OR1
+	218	16078217	mecA	BSU11520	-	COG4862OTN	adaptor protein	1229068	1229724	OF356
+	373	16078218	coiA	BSU11530	-	COG4469R	DNA transport protein	1229915	1231036	OF357
+	670	255767260	pepF	BSU11540	-	COG1164E	oligoendopeptidase F	1231083	1233095	OF357
-	55	255767261	yizD	BSU11549	-	-	hypothetical protein	1233133	1233300	OR1
-	299	255767262	yjbH	BSU11550	-	COG2761Q	thiol management oxidoreductase component	1233614	1234513	OR1
-	132	16078221	yjbI	BSU11560	-	COG2346R	thiol management oxidoreductase component	1234510	1234908	OR1
-	181	16078222	yjbJ	BSU11570	-	COG0741M	murein lytic transglycosylase	1235163	1235708	OR1
-	190	16078223	yjbK	BSU11580	-	COG4116S	RNA/thiamine triphosphatase	1235912	1236484	OR1
+	122	16078224	yjbL	BSU11590	-	-	phosphatase	1236609	1236977	OF357
+	211	16078225	yjbM	BSU11600	-	COG2357S	(p)ppGpp synthetase	1237006	1237641	OF357
+	266	16078226	ppnK	BSU11610	-	COG0061G	inorganic polyphosphate/ATP-NAD kinase	1237660	1238460	OF357
+	283	16078227	yjbO	BSU11620	-	COG0564J	pseudouridylate synthase	1238523	1239374	OF357
-	244	16078228	yjbP	BSU11630	-	COG0639T	bis(5'-nucleosyl)-tetraphosphatase	1239387	1240121	OR1
+	614	16078229	yjbQ	BSU11640	-	COG0475P	Na+/H+ antiporter	1240356	1242200	OF358
+	236	16078230	tenA	BSU11650	-	COG0819K	thiaminase II	1242449	1243159	OF359
+	205	16078231	tenI	BSU11660	-	COG0352H	transcriptional regulator TenI	1243134	1243751	OF359
+	369	16078232	thiO	BSU11670	-	COG0665E	FAD-dependent glycine oxidase	1243735	1244844	OF359
+	66	16078233	thiS	BSU11680	-	COG2104H	hydroxyethylthiazole phosphate synthesis sulfur carrier protein	1244844	1245044	OF359
+	256	16078234	thiG	BSU11690	-	COG2022H	thiazole synthase	1245041	1245811	OF359
+	336	16078235	thiF	BSU11700	-	COG0476H	thiamine/molybdopterin biosynthesis ThiF/MoeB-like protein	1245808	1246818	OF359
+	271	16078236	yjbV	BSU11710	-	COG0351H	phosphomethylpyrimidine kinase	1246837	1247652	OF359
+	258	50812220	fabI	BSU11720	-	COG0623I	enoyl-ACP reductase	1247788	1248564	OF359
+	227	16078238	cotO	BSU11730	-	-	spore outer coat protein	1248665	1249348	OF360
-	148	16078239	cotZ	BSU11740	-	-	spore coat protein	1249442	1249888	OR1
-	162	16078240	cotY	BSU11750	-	-	outer spore coat protein	1250016	1250504	OR1
-	172	16078241	cotX	BSU11760	-	COG4147R	spore coat protein	1250656	1251174	OR1
-	105	16078242	cotW	BSU11770	-	-	spore coat protein	1251273	1251590	OR1
-	128	16078243	cotV	BSU11780	-	-	spore coat protein	1251631	1252017	OR1
+	118	16078244	yjcA	BSU11790	-	-	sporulation-specific protein	1252177	1252533	OF361
+	68	255767263	yjzK	BSU11799	-	-	hypothetical protein	1252815	1253021	OF362
+	49	255767264	yjcZ	BSU11809	-	-	hypothetical protein	1253103	1253252	OF363
+	84	255767265	spoVIF	BSU11810	-	-	sporulation-specific protein needed for heat resistance	1253385	1253639	OF364
-	717	255767266	yjcD	BSU11820	-	COG0210L	ATP-dependent DNA helicase	1253713	1255866	OR1
+	84	255767267	yjzE	BSU11839	-	-	hypothetical protein	1256109	1256363	OF365
-	140	16078249	yjcF	BSU11840	-	COG2153R	acetyltransferase	1256436	1256858	OR1
-	171	16078250	yjcG	BSU11850	-	COG1514J	hypothetical protein	1256862	1257377	OR1
-	240	16078251	yjcH	BSU11860	-	COG2382P	hydrolase	1257414	1258136	OR1
+	373	16078252	yjcI	BSU11870	-	COG0626E	cystathionine gamma-synthase	1258492	1259613	OF366
+	390	16078253	yjcJ	BSU11880	-	COG0626E	cystathionine beta-lyase	1259606	1260778	OF366
-	181	16078254	yjcK	BSU11890	-	COG1670J	ribosomal-protein-alanine N-acetyltransferase	1260811	1261356	OR1
-	396	16078255	yjcL	BSU11900	-	COG5505S	hypothetical protein	1261426	1262616	OR1
-	409	16078256	yjcM	BSU11910	-	-	hypothetical protein	1263702	1264931	OR1
+	106	16078257	yjcN	BSU11920	-	-	hypothetical protein	1265057	1265377	OF366
+	43	255767268	yjzF	BSU11928	-	-	hypothetical protein	1265530	1265661	OF367
+	57	255767269	yjzG	BSU11929	-	-	hypothetical protein	1265677	1265850	OF367
+	153	16078258	yjcO	BSU11930	-	-	DNA binding protein	1265887	1266348	OF367
+	167	16078259	yjcP	BSU11940	-	-	hypothetical protein	1266614	1267117	OF367
+	94	16078260	yjcQ	BSU11950	-	-	hypothetical protein	1267129	1267413	OF367
+	175	16078261	yjcR	BSU11960	-	COG5484S	nucleic acid binding terminase small subunit	1267574	1268101	OF367
+	105	16078262	yjcS	BSU11970	-	COG1359S	hypothetical protein	1268275	1268592	OF368
+	251	16078263	yjdA	BSU11980	-	COG1028IQR	3-ketoacyl-ACP reductase	1268829	1269584	OF369
-	115	16078264	yjdB	BSU11990	-	COG5492N	hypothetical protein	1269733	1270080	OR1
+	648	255767270	manR	BSU12000	-	COG3711K	transcriptional antiterminator	1270631	1272577	OF370
+	650	255767271	manP	BSU12010	-	COG1299G	PTS system mannose-specific transporter subunit IIBCA	1272725	1274677	OF371
+	315	16078267	manA	BSU12020	-	COG1482G	mannose-6-phosphate isomerase	1274692	1275639	OF371
+	160	16078268	yjdF	BSU12030	-	-	hypothetical protein	1275809	1276291	OF371
-	168	16078269	yjdG	BSU12040	-	COG1670J	acetyltransferase	1276337	1276843	OR1
-	131	255767272	yjdH	BSU12050	-	-	hypothetical protein	1277062	1277457	OR1
+	159	16078271	yjdI	BSU12060	-	COG2606S	hypothetical protein	1277686	1278165	OF372
-	64	255767273	yjzH	BSU12069	-	-	hypothetical protein	1278205	1278399	OR1
-	109	16078272	yjdJ	BSU12070	-	-	hypothetical protein	1278565	1278894	OR1
-	329	255767274	ctaO	BSU12080	-	COG0109O	protoheme IX farnesyltransferase	1279514	1280503	OR1
-	107	16078274	cotT	BSU12090	-	-	spore coat protein	1280626	1280949	OR1
+	467	16078275	yjeA	BSU12100	-	COG0726G	secreted deoxyriboendonuclease	1281128	1282531	OF373
-	157	16078276	yjfA	BSU12110	-	-	hypothetical protein	1282571	1283044	OR1
-	55	16078277	yjfB	BSU12120	-	-	hypothetical protein	1283169	1283336	OR1
+	299	255767275	yjfC	BSU12130	-	COG5504O	hypothetical protein	1283463	1284362	OF374
-	132	16078279	yjgA	BSU12140	-	-	hypothetical protein	1284371	1284769	OR1
-	191	16078280	yjgB	BSU12150	-	-	hypothetical protein	1284870	1285445	OR1
+	985	16078281	yjgC	BSU12160	-	COG3383R	oxidoreductase	1285591	1288548	OF375
+	186	16078282	yjgD	BSU12170	-	COG2427S	hypothetical protein	1288541	1289101	OF375
+	213	16078283	yjhA	BSU12180	-	-	lipoprotein	1289298	1289939	OF375
+	208	255767276	yjhB	BSU12190	-	COG1051F	ADP-ribose pyrophosphatase	1290018	1290644	OF376
-	92	16078285	yjiA	BSU12200	-	-	hypothetical protein	1290675	1290953	OR1
+	396	16078286	yjiB	BSU12210	-	COG2124Q	monooxygenase	1291344	1292534	OF377
+	392	16078287	yjiC	BSU12220	-	COG1819GC	glycosyltransferase	1292557	1293735	OF377
-	62	255767277	yjzI	BSU12229	-	-	hypothetical protein	1293776	1293964	OR1
+	270	16078288	hemD	BSU12230	-	COG1587H	uroporphyrinogen-III synthase	1294138	1294950	OF377
-	250	16078289	yjkA	BSU12240	-	COG0390R	ABC transporter permease	1294996	1295748	OR1
-	250	16078290	yjkB	BSU12250	-	COG1117P	phosphate ABC transporter ATP-binding protein	1295748	1296500	OR1
-	324	16078291	yjlA	BSU12260	-	COG3851T	permease	1296620	1297594	OR1
+	165	16078292	yjlB	BSU12270	-	COG4297S	hypothetical protein	1297726	1298223	OF378
+	140	16078293	rex	BSU12280	-	COG2427S	transcriptional repressor	1298612	1299034	OF379
+	392	16078294	ndh	BSU12290	-	COG1252C	NADH dehydrogenase	1299074	1300252	OF379
+	473	16078295	uxaC	BSU12300	-	COG1904G	glucuronate isomerase	1300450	1301871	OF379
+	459	16078296	exuM	BSU12310	-	COG2211G	Na+:altronate/mannonate symporter	1301939	1303318	OF380
+	337	16078297	yjmC	BSU12320	-	COG2055C	oxidoreductase	1303423	1304436	OF381
+	339	16078298	yjmD	BSU12330	-	COG1063ER	oxidoreductase	1304442	1305461	OF381
+	359	16078299	uxuA	BSU12340	-	COG1312G	mannonate dehydratase	1305486	1306565	OF381
+	278	16078300	yjmF	BSU12350	-	COG1028IQR	D-mannonate oxidoreductase	1306562	1307398	OF381
+	422	16078301	exuT	BSU12360	-	COG2271G	hexuronate transporter	1307446	1308714	OF381
+	333	16078302	exuR	BSU12370	-	COG1609K	LacI family transcriptional regulator	1308802	1309803	OF381
+	480	16078303	uxaB	BSU12380	-	COG0246G	altronate oxidoreductase	1309880	1311322	OF382
+	497	255767278	uxaA	BSU12390	-	COG2721G	altronate hydrolase	1311319	1312812	OF382
-	254	16078305	yjnA	BSU12400	-	COG0730R	hypothetical protein	1312851	1313615	OR1
-	154	16078306	yjoA	BSU12410	-	COG2318S	hypothetical protein	1313840	1314304	OR1
+	423	16078307	yjoB	BSU12420	-	COG0465O	ATPase	1314453	1315724	OF382
+	378	16078308	rapA	BSU12430	-	COG5091	response regulator aspartate phosphatase	1315869	1317005	OF383
+	44	16078309	phrA	BSU12440	-	-	secreted inhibitor of the activity of phosphatase RapA	1316995	1317129	OF383
-	85	255767279	yjpA	BSU12450	-	COG2350S	hypothetical protein	1317157	1317414	OR1
+	317	16078311	xlyB	BSU12460	-	COG5632M	N-acetylmuramoyl-L-alanine amidase	1317535	1318488	OF383
-	125	16078312	yjqA	BSU12470	-	-	hypothetical protein	1318528	1318905	OR1
+	200	16078313	yjqB	BSU12480	-	COG4195R	PBSX phage-related replication protein	1319011	1319613	OF384
+	278	255767280	yjqC	BSU12490	-	COG3546P	PBSX phage manganese-containing catalase	1319690	1320526	OF385
-	198	255767281	xkdA	BSU12500	-	COG2856E	PBSX phage protein, peptidase	1320570	1321166	OR1
-	113	16078316	xre	BSU12510	-	COG1396K	Phage PBSX transcriptional regulator	1321329	1321670	OR1
+	59	255767282	yjzJ	BSU12519	-	-	hypothetical protein	1321848	1322027	OF386
+	278	255767283	xkdB	BSU12520	-	COG2345K	hypothetical protein	1322014	1322850	OF386
+	266	255767284	xkdC	BSU12530	-	COG1484L	hypothetical protein	1322750	1323550	OF386
+	55	255767285	ykzK	BSU12539	-	-	hypothetical protein	1323550	1323717	OF386
+	116	16078319	xkdD	BSU12540	-	-	hypothetical protein	1323802	1324152	OF386
+	68	16078320	xtrA	BSU12550	-	-	PBSX phage protein	1324149	1324355	OF386
+	169	16078321	xpf	BSU12560	-	COG1595K	positive control sigma-like factor	1324471	1324980	OF386
+	265	16078322	xtmA	BSU12570	-	COG3728L	PBSX defective prophage terminase small subunit	1325096	1325893	OF387
+	433	16078323	xtmB	BSU12580	-	COG1783R	PBSX defective prophage terminase large subunit	1325890	1327191	OF387
+	495	255767286	xkdE	BSU12590	-	COG5518R	phage capsid protein	1327195	1328682	OF387
+	275	255767287	xkdF	BSU12600	-	COG2433S	hypothetical protein	1328702	1329529	OF387
+	311	16078326	xkdG	BSU12610	-	-	capsid protein of PBSX prophage	1329555	1330490	OF387
+	127	255767288	ykzL	BSU12619	-	-	hypothetical protein	1330512	1330895	OF387
+	118	16078327	xkdH	BSU12620	-	-	hypothetical protein	1330892	1331248	OF387
+	161	16078328	xkdI	BSU12630	-	-	hypothetical protein	1331245	1331730	OF387
+	146	16078329	xkdJ	BSU12640	-	-	hypothetical protein	1331743	1332183	OF387
+	72	255767289	ykzM	BSU12649	-	-	hypothetical protein	1332187	1332405	OF387
+	466	255767290	xkdK	BSU12650	-	-	hypothetical protein	1332402	1333802	OF387
+	147	16078331	xkdM	BSU12660	-	-	hypothetical protein	1333804	1334247	OF387
+	148	255767291	xkdN	BSU12671	-	-	hypothetical protein	1334339	1334785	OF387
